 時間(時)/欄位 	60kw_load	60kw_MPPT
2023/12/22 00:00	1352.2721	0
2023/12/22 01:00	1215.18	0
2023/12/22 02:00	1012.1614	0
2023/12/22 03:00	1002.8546	0
2023/12/22 04:00	999.1251	0
2023/12/22 05:00	1001.2566	0
2023/12/22 06:00	1002.716	30.8159
2023/12/22 07:00	993.6835	525.1519
2023/12/22 08:00	994.4194	769.3637
2023/12/22 09:00	2040.0513	1390.6023
2023/12/22 10:00	1725.627	2107.0005
2023/12/22 11:00	1167.8435	3579.2273
2023/12/22 12:00	1167.9138	3450.8217
2023/12/22 13:00	1166.7512	2367.0858
2023/12/22 14:00	1165.2191	1188.275
2023/12/22 15:00	1165.3571	717.1756
2023/12/22 16:00	1166.183	288.7656
2023/12/22 17:00	1167.3918	16.4709
2023/12/22 18:00	1166.8207	0
2023/12/22 19:00	1167.2507	0
2023/12/22 20:00	1167.9182	0
2023/12/22 21:00	1168.8869	0
2023/12/22 22:00	1164.0592	0
2023/12/22 23:00	1164.9261	0
